,0
686,4063
687,4064
688,4065
689,4066
690,4067
691,4068
692,4069
693,4070
694,4071
695,4072
696,4073
697,4074
698,4075
699,4076
700,4077
701,4078
702,4079
703,4080
704,4081
705,4082
706,4083
707,4084
708,4085
709,4086
710,4087
711,4088
712,4089
713,4090
714,4091
715,4092
716,4093
717,4094
718,4095
719,4096
720,4097
721,4098
722,4099
723,4100
724,4101
725,4102
726,4103
727,4104
728,4105
729,4106
730,4107
731,4108
732,4109
733,4110
734,4111
735,4112
736,4113
737,4114
738,4115
739,4116
740,4117
741,4118
742,4119
743,4120
744,4121
745,4122
746,4123
747,4124
748,4125
749,4126
750,4127
751,4128
752,4129
753,4130
754,4131
755,4132
756,4133
757,4134
758,4135
759,4136
760,4137
761,4138
762,4139
763,4140
764,4141
765,4142
766,4143
767,4144
768,4145
769,4146
770,4147
771,4148
772,4149
773,4150
774,4151
775,4152
776,4153
777,4154
778,4155
779,4156
780,4157
781,4158
782,4159
783,4160
784,4161
785,4162
786,4163
787,4164
788,4165
789,4166
790,4167
791,4168
792,4169
793,4170
794,4171
795,4172
796,4173
797,4174
798,4175
799,4176
800,4177
801,4178
802,4179
803,4180
804,4181
805,4182
806,4183
807,4184
808,4185
809,4186
810,4187
811,4188
812,4189
813,4190
814,4191
815,4192
816,4193
817,4194
818,4195
819,4196
820,4197
821,4198
822,4199
823,4200
824,4201
825,4202
826,4203
827,4204
828,4205
829,4206
830,4207
831,4208
832,4209
833,4210
834,4211
835,4212
836,4213
837,4214
838,4215
839,4216
840,4217
841,4218
842,4219
843,4220
844,4221
845,4222
846,4223
847,4224
848,4225
849,4226
850,4227
851,4228
852,4229
853,4230
854,4231
855,4232
856,4233
857,4234
858,4235
859,4236
860,4237
861,4238
862,4239
863,4240
864,4241
865,4242
866,4243
867,4244
868,4245
869,4246
870,4247
871,4248
872,4249
873,4250
874,4251
875,4252
876,4253
877,4254
878,4255
879,4256
880,4257
881,4258
882,4259
883,4260
884,4261
885,4262
886,4263
887,4264
